Type,Name,url,Desc
Encoding,CyberChef,https://gchq.github.io/CyberChef/,"Support many encoding and decoding methods, the 'Magic' operation is good for blind decoding"
Hash,CrackStation,https://crackstation.net/,Support many common hash to crack
